연도_총매장수,지역들,매장수
2016_3420개,서울,753
2016_3420개,부산,204
2016_3420개,대구,161
2016_3420개,인천,199
2016_3420개,광주,102
2016_3420개,대전,115
2016_3420개,울산,70
2016_3420개,세종,11
2016_3420개,경기,870
2016_3420개,강원,98
2016_3420개,충북,111
2016_3420개,충남,148
2016_3420개,전북,122
2016_3420개,전남,104
2016_3420개,경북,130
2016_3420개,경남,177
2016_3420개,제주,45
2017_3422개,서울,748
2017_3422개,부산,206
2017_3422개,대구,162
2017_3422개,인천,194
2017_3422개,광주,101
2017_3422개,대전,113
2017_3422개,울산,72
2017_3422개,세종,13
2017_3422개,경기,876
2017_3422개,강원,98
2017_3422개,충북,111
2017_3422개,충남,145
2017_3422개,전북,116
2017_3422개,전남,105
2017_3422개,경북,136
2017_3422개,경남,178
2017_3422개,제주,48
2018_3412개,서울,725
2018_3412개,부산,202
2018_3412개,대구,163
2018_3412개,인천,200
2018_3412개,광주,97
2018_3412개,대전,109
2018_3412개,울산,71
2018_3412개,세종,21
2018_3412개,경기,889
2018_3412개,강원,98
2018_3412개,충북,111
2018_3412개,충남,136
2018_3412개,전북,120
2018_3412개,전남,107
2018_3412개,경북,135
2018_3412개,경남,180
2018_3412개,제주,48
